,Stat information,Value,,,,,,,,,,,,,,,,,,,,,,
,S - for Speaker on Stage.  Set Value here >>,1.25,,,,,,,,,,,,,,,,,,,,,,
,A - for contributing in Live Chat. Set Value here >>,1,,,,,,,,,,,,,,,,,,,,,,
,P - for entering Participation Token. Set Value here >>,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Discord Names,Wallet,GRAPE,VINE,C1 - 4/16,,C2 - 4/21,,C3 - 4/23,,C4 - 4/28,,C5 - 4/30,,C6 - 5/5,,C7 - 5/7,,C8 - 5/12,,C9 - 5/14,,,Raffles 1st place,Call
,,,,Stat,Value,Stat,Value,Stat,Value,Stat,Value,Stat,Value,Stat,Value,Stat,Value,Stat,Value,Stat,Value,,,
Arximedis,248r9HpcRbJWNLWAgxzkdvH9a3Sw29mcKsxHAqxo75fA,83467,7,S,1.25,S,1.25,S,1.25,S,1.25,S,1.25,,,S,1.25,S,1.25,,,,,
phoenix847973,3WfYsoZ2Gmvq1bReZxdpoGFe5ALF8cuRdzWFvnYw5CKA,16667,6,A,1,A,1,,,P,0,P,0,P,0,P,0,,,,,,,
Bohemian,57wq4R1cNeAS2piyXufzhppumPaMHpkQdBkJcweebCqb,49607,7,P,0,,,A,1,P,0,A,1,S,1.25,P,0,A,1,,,,,
fzzyyti,5cf9XyxMYoPNraRHZkSWN6LrarwnEFLVruaVCV8gMXUo,0,0,,,,,,,,,,,,,,,,,,,,,
Omon,5mcUDGBZVzirxmko3N65UNyGimMhehGvZYBaL1hhczEC,0,5,P,0,,,P,0,P,0,P,0,,,P,0,,,,,,,
dvccons,5v8MVwCZURAqL4A93vfYCcJ3KBMiuyanc5ZGdZ8TkEQz,7778,8,P,0,P,0,P,0,P,0,P,0,P,0,P,0,A,1,,,,,
untiedbear,6aJo6zRiC5CFnuE7cqw4sTtHHknrr69NE7LKxPAfFY9U,82663,7,S,1.25,S,1.25,A,1,A,1,A,1,S,1.25,S,1.25,,,,,,30000,C2
Vacation,6Ff6Wmt1Kh4V7Nrbn1tvPcy8PUhDqhM1tdiYZjeUEkA4,10000,2,,,A,1,,,,,,,,,,,P,0,,,,,
Inexe,6G8EPXXQJJ2TffR3idAYEFjRJGLpQUoEgMQTdTty38V4,0,1,,,,,,,,,,,,,P,0,,,,,,30000,C4
CoffeeAttack,6W4mspuuDvGok2dVZYkLQJxFAGzceKmfHRUTURjnii9B,66592,6,S,1.25,S,1.25,S,1.25,,,,,S,1.25,S,1.25,S,1.25,,,,30000,C5
Tariqstp,9f8uuHm4VFzsHnBoCUZxF2cuQJzJteX4tzAqL1sPsqXQ,0,8,P,0,P,0,P,0,P,0,P,0,P,0,P,0,P,0,,,,30000,C1
Mattwins,9prsXkpLJNmzTF5Wq6hBE2jAfkJzrAGHNaw4u38Y5Uov,16667,7,A,1,P,0,P,0,,,P,0,P,0,S,1.25,P,0,,,,,
koulos,AZpn1dn3VbLdFe2JfbHe9JmUP7NX2roYyzNwKbDZqqvz,7778,4,,,P,0,,,P,0,,,,,P,0,A,1,,,,,
nanko.sol,Bw3ThDvrwnXkkETcDSC3GkcFbra7qc1aeGKR6S6F2ke2,7778,1,,,,,,,,,,,,,,,A,1,,,,,
RipTyde,CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,15203,3,A,1,,,S,1.25,,,,,,,P,0,,,,,,,
nezer,Dn99VxMviV8FhGFFwyv7n293UFiasCu1FKRSQZhEKg61,0,5,P,0,,,P,0,P,0,P,0,,,P,0,,,,,,,
eth.alex,eahJjUAWibVvG283fPjxiTmRrZGbP4jHDwWVYAjoR98,81760,7,S,1.25,S,1.25,A,1,S,1.25,S,1.25,,,S,1.25,S,1.25,,,,30000,C3
Billy,FDw92PNX4FtibvkDm7nd5XJUAg6ChTcVqMaFmG7kQ9JP,78467,6,S,1.25,,,S,1.25,S,1.25,S,1.25,S,1.25,,,S,1.25,,,,,
Abiqas95,GeEwbHS5BGdcm3p45tt4NgiW97HYpkk5P9NsJ64kKWxZ,0,3,,,P,0,,,P,0,,,P,0,,,,,,,,30000,C8
eugeneomons,GgnepE7qk1PUXef7aLd9wXrDghA1AWM7m2gsYfu2p6uo,0,0,,,,,,,,,,,,,,,,,,,,,
Butter,GPXiHb4tKGX9zntTmcLipujndnN8ZB6bVSHjLHagMbyc,0,0,,,,,,,,,,,,,,,,,,,,,
gimony xoto,i7HdjbyqnqEDpQPynnsMYGAep64Ss6sJbrrtxteFZHL,0,7,P,0,P,0,P,0,P,0,P,0,P,0,,,P,0,,,,,
Ijay,J7Bn93NHa5hRARzwi45YDn6ksgRdMScvvU7CXDFf68Z6,0,5,,,,,,,P,0,P,0,P,0,P,0,P,0,,,,,
Crex to your sol,JCzcVnhPyjefCsmfnEX3nTqR3e16qgxN4fyZHDAAHDsb,10000,7,P,0,P,0,P,0,P,0,P,0,P,0,S,1.25,,,,,,60000,"C6, C7"
Kirk,KirkNf6VGMgc8dcbp5Zx3EKbDzN6goyTBMKN9hxSnBT,61245,7,S,1.25,P,0,S,1.25,S,1.25,S,1.25,,,S,1.25,P,0,,,,,
DyNite,rxeTLDCNnk2NFKfbpgfr2zMR8Q9wwKhrvttToptBTAP,0,0,,,,,,,,,,,,,,,,,,,,,
ERaTOsTHeniÎ£,Tqv1mTQv8KD4qFPyjobbFnYD7Av2NpNCc96fEYdFAbw,0,4,P,0,,,A,1,A,1,A,1,,,,,,,,,,,
BLANK,,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total Reward per call active >>,,,,6667,,10000,,6829,,10000,,8750,,14000,,8000,,7778,,0,,,
,Totals >>,595671,123,,,,,,,,,,,,,,,,,,,,,