pubkey,TotalRewards,communitypropcreatorpassed,depositedvotes,alltimerewards,base_elgible_level,is_elgible,totalproposalparticipation,VotingReward,CallRewards,RaffleReward,CreationRewardCapped,totalproposalscreated,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalcouncilvotes,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotesfor,totalcouncilvotesagainst,rewards
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,197911,0,2149917,1781604.24,1247122.97,TRUE,3,9915,63998,60000,63998,0,1,0,1710078582,1713291767,5954032,5954032,0,4,7,0,0,0,4,0,235719
eahJjUAWibVvG283fPjxiTmRrZGbP4jHDwWVYAjoR98,138609,2,1430308,1023415,716390.5,TRUE,4,13220,75389,,50000,3,0,0,1710263897,1711630662,3837498,3837498,0,0,4,0,0,0,0,0,523168
248r9HpcRbJWNLWAgxzkdvH9a3Sw29mcKsxHAqxo75fA,133276,2,1908919,1373285.44,961299.81,TRUE,4,13220,56723,30000,33333,2,1,0,1710078582,1711630662,5414907,5414907,0,3,6,0,0,0,3,0,147893
6W4mspuuDvGok2dVZYkLQJxFAGzceKmfHRUTURjnii9B,108304,0,2428177,1503841.9,1052689.3,TRUE,3,9915,68389,30000,,0,0,0,1710263897,1711630662,6960988,6960988,0,0,3,0,0,0,0,0,126643
KirkNf6VGMgc8dcbp5Zx3EKbDzN6goyTBMKN9hxSnBT,95609,0,2672354,2067094.9000000000,1446966.4300000000,TRUE,4,13220,82389,,,0,1,200,1710078582,1713294020,12411203,12411203,0,5,10,0,5,3,5,0,232671
FDw92PNX4FtibvkDm7nd5XJUAg6ChTcVqMaFmG7kQ9JP,95609,0,3234140,2254994.4000010000,1578496.0800007000,TRUE,4,13220,82389,,,0,0,380,1710263897,1711630662,14920383,14920383,0,0,5,0,0,0,0,0,292646
6aJo6zRiC5CFnuE7cqw4sTtHHknrr69NE7LKxPAfFY9U,88609,0,245762,321423,224996.1,TRUE,4,13220,75389,,,0,0,0,1710263897,1711630662,693798,693798,0,0,5,0,0,0,0,0,247809
57wq4R1cNeAS2piyXufzhppumPaMHpkQdBkJcweebCqb,62416,0,1155774,1075554.24,752887.97,TRUE,4,13220,19196,30000,,0,0,0,1710263897,1711630662,3049736,3049736,0,0,4,0,0,0,0,0,416588
Bw3ThDvrwnXkkETcDSC3GkcFbra7qc1aeGKR6S6F2ke2,51472,0,600305,406433.24,284503.27,TRUE,2,6610,44862,,,0,0,0,1710263897,1710435599,1178418,1178418,0,0,2,0,0,0,0,0,11096
AZpn1dn3VbLdFe2JfbHe9JmUP7NX2roYyzNwKbDZqqvz,43220,0,1559906,1145046.240001,801532.368001,TRUE,4,13220,,30000,,0,0,0,1710263897,1711630662,5497472,5497472,0,0,4,0,0,0,0,0,219301
5v8MVwCZURAqL4A93vfYCcJ3KBMiuyanc5ZGdZ8TkEQz,43220,0,24553,88878,62214.6,FALSE,4,13220,,30000,,0,0,0,1710263897,1711630662,257160,257160,0,0,4,0,0,0,0,0,70526
9f8uuHm4VFzsHnBoCUZxF2cuQJzJteX4tzAqL1sPsqXQ,42337,0,1935312,1476481.320002,1033536.924001,TRUE,4,13220,29117,,,0,0,0,1710263897,1711630662,8505668,8505668,0,0,5,0,0,0,0,0,276776
JCzcVnhPyjefCsmfnEX3nTqR3e16qgxN4fyZHDAAHDsb,34361,0,1545302,1394306.53,976014.57,TRUE,4,13220,21141,,,0,0,0,1710263897,1711630662,4984854,4984854,0,0,4,0,0,0,0,0,397548
GPXiHb4tKGX9zntTmcLipujndnN8ZB6bVSHjLHagMbyc,30000,0,272605,243754,170627.8,TRUE,0,,,30000,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,47586
rxeTLDCNnk2NFKfbpgfr2zMR8Q9wwKhrvttToptBTAP,27220,0,843297,764006.285004,534804.399503,TRUE,4,13220,14000,,,0,0,0,1710263897,1711630662,3245782,3245782,0,0,4,0,0,0,0,0,56003
Tqv1mTQv8KD4qFPyjobbFnYD7Av2NpNCc96fEYdFAbw,25082,0,195701,43855.825000000000,30699.077500000000,TRUE,1,3305,21777,,,0,0,0,1710977093,1710977093,195701,195701,0,0,1,0,0,0,0,0,5263
9prsXkpLJNmzTF5Wq6hBE2jAfkJzrAGHNaw4u38Y5Uov,19442,0,400000,468431,327901.7,TRUE,2,6610,12832,,,0,0,0,1710263897,1711630662,632000,632000,0,0,2,0,0,0,0,0,125726
8ajdd45B5PpSnmqrk5CuUaqrBrLrqp8WrcA1aRbmyhvv,18276,0,895566,669089.109999,468362.376999,TRUE,2,6610,11666,,,0,0,0,1710263897,1710435599,1466530,1466530,0,0,2,0,0,0,0,0,162301
6Ff6Wmt1Kh4V7Nrbn1tvPcy8PUhDqhM1tdiYZjeUEkA4,13610,0,1109273,102874.10999900000,72011.87699930000,TRUE,2,6610,7000,,,0,0,0,1710263897,1711630662,2207450,2207450,0,0,2,0,0,0,0,0,11096
6G8EPXXQJJ2TffR3idAYEFjRJGLpQUoEgMQTdTty38V4,13220,0,342027,264429.24,185100.47,TRUE,4,13220,,,,0,0,0,1710263897,1711630662,1689083,1689083,0,0,5,0,0,0,0,0,10526
AkXTPSmMeDY1hjRNH2BfCJByeWWPgJgJmJZFKEP5F7LC,13220,0,83441,45350,31745,TRUE,4,13220,,,,0,0,0,1710263897,1711630662,406679,406679,0,0,5,0,0,0,0,0,5263
B6Fc8hnuz3h3q3RHCK6CrB8L547QJWTB3XQAyDhTx6YW,13220,0,101298,65037.82,45526.47,TRUE,4,13220,,,,0,0,0,1710263897,1711630662,485438,485438,0,0,5,0,0,0,0,0,10526
Dn99VxMviV8FhGFFwyv7n293UFiasCu1FKRSQZhEKg61,13220,0,99011,54011,37807.7,TRUE,4,13220,,,,0,0,0,1710263897,1711630662,414003,414003,0,0,5,0,0,0,0,0,40526
DxvWEDKaUAMBwHVF22kCxG2jRWgMLdcWWUVdDjY9EJrH,13220,0,422756,143921.53,100745.07,TRUE,4,13220,,,,0,0,0,1710263897,1711630662,1669972,1669972,0,0,4,0,0,0,0,0,10526
EjSQWTKV56T5212EkqfipLCrAcZaTyiapCFVJyLDetxL,13220,0,77540,70387.82,49271.47,TRUE,4,13220,,,,0,0,0,1710263897,1711630662,299634,299634,0,0,4,0,0,0,0,0,5263
7nQgXKahEs1LLtH3ipbuqPdWBcwFoJK8TaxeUuykcdfC,13220,0,1016680,10526,7368.2,TRUE,4,13220,,,,0,0,119406,1710263897,1710977093,4045668,4045668,0,0,4,0,0,0,0,0,10526
F8qopzCYLt5dCf4t9GxtyQkNqSAEKfqiuMcpZbuMfP2x,13220,0,49747,19516,13661.2,TRUE,4,13220,,,,0,0,0,1710263897,1711630662,170334,170334,0,0,4,0,0,0,0,0,10526
614CZK9HV9zPcKiCFnhaCL9yX5KjAVNPEK9GJbBtxUZ8,13220,0,343197,142597,99817.9,TRUE,4,13220,,,,0,0,0,1710263897,1711630662,1351736,1351736,0,0,4,0,0,0,0,0,10526
GgnepE7qk1PUXef7aLd9wXrDghA1AWM7m2gsYfu2p6uo,13220,0,87494,1330,931,TRUE,4,13220,,,,0,0,200,1710263897,1711630662,349976,349976,0,0,4,0,0,0,0,0,0
5mcUDGBZVzirxmko3N65UNyGimMhehGvZYBaL1hhczEC,13220,0,5000,0,0,TRUE,4,13220,,,,0,0,0,1710263897,1711630662,20000,20000,0,0,4,0,0,0,0,0,0
4DS5QkBvHHnnuoRYop7jaHbnrpvg75w83Jhg3PMvK9KV,9915,0,60077,48125.82,33688.07,TRUE,3,9915,,,,0,0,0,1710263897,1710885732,180231,180231,0,0,3,0,0,0,0,0,0
9dewJqYKVvHkT4rTsvu6c5ymGs6qszpA5xdQzhRbij6X,9915,0,50328,32451,22715.7,TRUE,3,9915,,,,0,0,903077,1710435599,1711630662,140458,140458,0,0,3,0,0,0,0,0,10526
i7HdjbyqnqEDpQPynnsMYGAep64Ss6sJbrrtxteFZHL,9915,0,15263,5263,3684.1,TRUE,3,9915,,,,0,0,0,1710263897,1711630662,35263,35263,0,0,3,0,0,0,0,0,5263
FrytnomHvzLrCbwZ34Y7SkYzGRYdBiViCD9EUECKTFii,9915,0,0,29353,20547.1,FALSE,3,9915,,,,0,0,0,1710263897,1710977093,171385,171385,0,0,3,0,0,0,0,0,10526
HM5RokQ9rSbwirY4cETKEu7ZUDXQYMjTabySpfSb8FjK,9915,0,0,5263,3684.1,FALSE,3,9915,,,,0,0,1202,1710263897,1710977093,64207,64207,0,0,3,0,0,0,0,0,5263
4LAUqfwKXyUrKeBoEpphozvNMgnT3DhYjU3tohGeArjd,6610,0,146823,102525.24,71767.67,TRUE,2,6610,,,,0,0,0,1710263897,1711630662,288383,288383,0,0,2,0,0,0,0,0,5263
6FSwPfyiqBvCuuHCo5euzaEtDKvoUadMLE5MmTV1imw7,6610,0,1307,225,157.5,TRUE,2,6610,,,,0,0,0,1710263897,1710435599,2614,2614,0,0,2,0,0,0,0,0,0
HDFaUvamnZkpP3PgKR25cZcsMjufMj47HvbHbGSDNBL1,6610,0,100000,0,0,TRUE,2,6610,,,,0,0,0,1710977093,1711630662,200000,200000,0,0,2,0,0,0,0,0,0
B1cNA6QBuKyvPk2qvU5cfpqEDcTzaWdvuhUKJDn3uzNy,6610,0,124964,30594.82,21416.37,TRUE,2,6610,,,,0,0,8358,1710885732,1710977093,249928,249928,0,0,2,0,0,0,0,0,0
9CvND2BHEq19hQctHeJef1ULbf3UV2sCvqBmxbWmq34B,6610,0,29516,19516,13661.2,TRUE,2,6610,,,,0,0,382,1710263897,1711630662,48506,48506,0,0,2,0,0,0,0,0,10526
EJpxUCkYjY9KXhLgRjgmL6gKtUVG1QeFTqtfVtgUL1nt,6610,0,489,0,0,TRUE,2,6610,,,,0,0,0,1710263897,1710435599,978,978,0,0,2,0,0,0,0,0,0
9BHp7uNDNja5uWgUgxqsiZn9sJUY4kGhUfEuf4tn25Sn,6610,0,0,0,0,TRUE,2,6610,,,,0,0,0,1710263897,1710435599,486490,486490,0,0,2,0,0,0,0,0,0
B4P4miyudoJTSpiuchDJs4HvxhSvyStni49LtEVoYVM,6610,0,115,12554,8787.8,FALSE,2,6610,,,,0,0,0,1710263897,1710435599,230,230,0,0,2,0,0,0,0,0,0
5BzDWc6MVWx2QxS3tSFLspdEHJLUYjogBByBUrZzcwU6,3305,0,36664,9668,6767.6,TRUE,1,3305,,,,0,0,0,1710885732,1710885732,36664,36664,0,0,1,0,0,0,0,0,5263
F9CMWRgNeB4Rb4ajcft5tZzDtwVTHyrsz2jFGmaGjKa9,3305,0,1000,1000,700,TRUE,1,3305,,,,0,0,0,1710263897,1710263897,1000,1000,0,0,1,0,0,0,0,0,0
A3TspRMNkvZVUM1yDYhALeBgpNXVkkA8yVdtEwEwkrKb,3305,0,4939,0,0,TRUE,1,3305,,,,0,0,0,1711630662,1711630662,4939,0,4939,0,0,1,0,0,0,0,0
DmLoxafqPoEcenVtwHVzejZePHzvDroSDSC6FsGCn5ok,0,0,57639,5799,4059.3,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
FP5knkMJKxqM7YiLMxyyRowuegaNsEGghbMmW4zat9EW,0,0,0,46312,32418.4,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
55RPYGrfzaBctai7nSw2QgoJL3bMzKvihtiDpVcJLFWe,0,0,0,470,329,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
J1ekBJffrhumo67tx7UtBBQAuNWgoN13FCxDQCKjjjvG,0,0,0,60,42,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
VVHYnG3fb96YQeZCf7a4nTNr22dX8VveUZqENbuHwAi,0,0,0,17847.3125,12493.1188,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
5ANdHqaZsiy82bhgfQ771H74b6SFyRaj6Cfw2vjCDbrN,0,0,1691,425,297.5,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
85KeLnZn4za1G6SZdfxyTQ5zSUgxB5uNwPyAoA1yVCy3,0,0,34530,8485,5939.5,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
7dMskWAgwv4EyQykEbnieDNZs5xDrJN6Ma6LKY5xyd1d,0,0,36903,12900,9030,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
D7o5YEE6ZTnQPRd2nbdoK1rRP83mLLoapoBWgkSJFUHL,0,0,0,17102,11971.4,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
5EWZJyrBXCmxdr8S6d5k9xTdTcUoVidoiU1UUF9CdB7g,0,0,499,122580.312501,85806.218751,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
2su7qMHkRNsTEjHdzkHA5hzvA8UohHNoV6JhLsUXms7a,0,0,0,320,224,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
6jKm7ZhikmmhT8i3q1wrhM5FRQoktAKbLhn6XFCyj5ro,0,0,0,4605,3223.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
3eRpxbaTWx8vS2qKhC4h2aYQXPBzxcG6cFf8xrNdck64,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GADm41oZzno47qXZbQRZMb4HfJ4ytzFsiu9HUma2Kzn8,0,0,0,1105,773.5,FALSE,0,0,,,,0,0,6270,null,null,0,0,0,0,0,0,0,0,0,0,0
F11eNdMU6v4aDaoqJAPHNfqoKJaKzqDbY3sTBSVwKo1d,0,0,190849,105399.24,73779.47,TRUE,0,0,,,,0,0,17,null,null,0,0,0,0,0,0,0,0,0,0,5263
D3s8NuLSxhvEwpnQ9wMkgEx3j2Hbw6FcFfA2Nh1p78dF,0,0,0,39486.812507,27640.768755,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
8PqQYJDvsow3UGydnnNuwSoPBuJ2QGxT4DrwvRuAyLxJ,0,0,0,5405,3783.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
Hew6XJcEjQAx2Pi4GWogr68dmbST24g9xtumKBqvhkdL,0,0,0,2155,1508.5,FALSE,0,0,,,,0,0,54449,null,null,0,0,0,0,0,0,0,0,0,0,0
HTe1Hfi6zAjLcCjyaox7fTvjPnXvqjKna9BT3h45BDKa,0,0,0,1100,770,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
Hjbf2kgBEzHf6j4bRZ4DDaVXzRhBm8Tr82ttNRLTFuuZ,0,0,0,57342.08969900000,40139.46278930000,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GmzqsoTC1XyWHkJe79skc49Ed5FynKZSSJh3d2z1Zqch,0,0,0,1100,770,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
6m4i6Gh83M4oDps6g6zXM4wiXap35w65DQS7hdnEzuB5,0,0,0,1105,773.5,FALSE,0,0,,,,0,0,13890,null,null,0,0,0,0,0,0,0,0,0,0,0
9qWN2em7qYpZg5dhD83bSepQbZWRY3GUZAxTnok1azZP,0,0,0,313964,219774.8,FALSE,0,0,,,,0,0,732000,null,null,0,0,0,0,0,0,0,0,0,0,0
3JkznmhmZ3fU6nnpuX8JHnUKdy4BmhKMUhBoprJN43Px,0,0,41,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
AzdqxbTury9ygNmPuWFBhZbG4u8okaB74q3FrodowAF6,0,0,0,1610,1127,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
6KhisW1zBdcax1na44XZcSd4jgr48iRbBEieNVR1JtA9,0,0,0,115,80.5,FALSE,0,0,,,,0,0,1263,null,null,0,0,0,0,0,0,0,0,0,0,0
21VN2b3spuPxXqoHK95fZo3KujtCQfg6rotgYZY4P72F,0,0,0,1100,770,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
BXokbUFNAGupNhuczvFDCS2BaXChnCvpCFB7qSJErH4f,0,0,1000,1100,770,TRUE,0,0,,,,0,0,100,null,null,0,0,0,0,0,0,0,0,0,0,0
6VHKRsV67Hx6zUWdQs8FVNFW7Qb2SBsEd6jqMRD5UVGf,0,0,5752,1640,1148,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
3cx9UxeRyUH4r7mweHFfgHELEUS2GBiFAXyy5auWrRDZ,0,0,23806,11330,7931,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
5kLAJS1P2c4pSHPhU91aAMLsfhBbjbYHTCfxhmKB3Rtd,0,0,6211,1745.4,1221.8,TRUE,0,0,,,,0,0,15568,null,null,0,0,0,0,0,0,0,0,0,0,0
96tq9QEc8qhyy7g5iA97SH8N1T9cMXAMQN6C2ycDcrm5,0,0,22,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
5cvX5RGXCbX12Rso1UCTFFDdzgN9W7jMTHCDzKAthmuo,0,0,1,79856.53,55899.57,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
HWjuUSLmPmiUYJHs2AH1nr9JZH7vcPhqQpDa6KBVA2fS,0,0,1800,15880,11116,FALSE,0,0,,,,0,0,145,null,null,0,0,0,0,0,0,0,0,0,0,0
2xRMvUtr88hLcLkFD1vfSADkQW92S3JxFF2vuV5pVGLr,0,0,0,1280,896,FALSE,0,0,,,,0,0,1359,null,null,0,0,0,0,0,0,0,0,0,0,0
JBXbypS6S8k1fAhwPssXa1SDtUq8KSBCjVhbDZqxsemB,0,0,0,4230,2961,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
9N78qUJMtbJE5739uVuQYtoBR4CR68MDwtpLBFWrCHo4,0,0,0,1100,770,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
9rNN4te7RAwFUTZRKZ7gc2d1zpvnMDMa9aQ1DnVkGoE9,0,0,1068,150,105,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
BsFR3oxtQfRb3PfFwRYMv8uYUo2WmicTAEm1sZDaUE6c,0,0,0,110,77,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
HvB2jZLsM1em4DDkze4Lmncetk5NNdMS5tYAxe4khery,0,0,0,55,38.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
AxSv4XsSeWisFhSq7C8MA1TV5BErjDi5K4zze6HPJy8F,0,0,0,108335.53,75834.87,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
3PPjZVCpJw4YA7Z918aux6uNwbMuK9EXtjv9nwwSR1bF,0,0,117,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GhXKgMtTFyzvXfnPae6p7vL9SsSdvwnniqF79qWf67eS,0,0,0,55,38.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
939AAWDfv2wTpR4qiSU59tyXYV12TrYr8jaxfaQWmydb,0,0,0,7764,5434.8,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
Krw1qTDKuu7AKdCZBz4FRhBj6136yKD2YkrnUUuG9XU,0,0,0,20548.1875,14383.7313,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GQFSF6rj3vBrSEaa9C5nhSnfqyh2MBMrdqkRATAoieV2,0,0,0,225,157.5,FALSE,0,0,,,,0,0,2010,null,null,0,0,0,0,0,0,0,0,0,0,0
EZLvwGdGyeks3jQLWeBbjL1uGeGbqb2MYU4157pDP9ch,0,0,330817,218344,152840.8,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
4aJh2CCtbUr64Xh45UL8FXXUdJG5btiCDMZb18Vr2RT9,0,0,0,791,553.7,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
2RR8BSkEUH9aJuqFJsmRQ7wfBk798oujYSucfhaDtSvx,0,0,0,1255,878.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
